"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Azerbaijan","AZE","Urban population","SP.URB.TOTL","2052745","2110337","2169797","2229639","2287911","2343188","2394924","2443302","2488510","2531166","2589494","2668063","2746043","2823381","2893103","2954909","3015863","3076140","3136421","3195385","3253169","3312379","3373158","3435317","3501135","3570514","3640640","3711440","3783410","3840241","3847891","3885695","3922204","3959159","3989565","4012031","4028686","4043596","4057628","4085971","4135854","4184325","4232008","4280744","4335079","4396406","4461940","4530068","4643726","4759039","4835104","4918882","5006337","5094380","",
"Burundi","BDI","Urban population","SP.URB.TOTL","57881","60074","62348","64713","67257","70633","75535","80910","86615","92492","98355","104176","110003","115944","122377","129614","137729","146820","156907","167907","179050","190918","203757","217616","232769","249259","267364","286997","307873","329522","351544","371148","390433","409633","428727","447798","466547","485234","504853","525978","550362","578680","611015","647107","686409","728474","773455","821505","872605","926233","982457","1041044","1102068","1165846","",
"Belgium","BEL","Urban population","SP.URB.TOTL","8463316","8500111","8545539","8624158","8720520","8814176","8887919","8951328","9000174","9039007","9061057","9090451","9138742","9179915","9221059","9259701","9288043","9319769","9348049","9375266","9403844","9418778","9426273","9435379","9444896","9457075","9469618","9486775","9525797","9569207","9606261","9650427","9697796","9743821","9781788","9810102","9836805","9868070","9896510","9926274","9956834","9996900","10047497","10095147","10144456","10205859","10278774","10359739","10447150","10536729","10662663","10792210","10875857","10946158","",
"Benin","BEN","Urban population","SP.URB.TOTL","225533","243049","262088","282768","305217","329545","355953","384569","415578","449088","485336","524458","566769","612342","661590","714719","772108","833799","900266","965273","1016471","1070600","1127984","1188686","1252771","1320306","1391302","1465947","1545471","1631264","1724688","1826685","1926857","2017263","2109113","2200208","2289623","2378172","2467962","2562398","2663900","2773103","2889452","3012383","3140200","3271472","3406008","3544210","3686049","3831321","3980231","4132550","4288333","4447972","",
"Burkina Faso","BFA","Urban population","SP.URB.TOTL","226977","234744","242709","251039","259789","268990","278745","289111","299959","311347","323189","335447","348345","361760","375812","390629","418353","457588","500783","548277","600751","658561","722340","792524","869407","953161","1017666","1064071","1112726","1163682","1217244","1273348","1332277","1393992","1458745","1526699","1598101","1693066","1810790","1936658","2071322","2214803","2368041","2531311","2705521","2890681","3087754","3297270","3517289","3747778","3988414","4239558","4501190","4773254","",
"Bangladesh","BGD","Urban population","SP.URB.TOTL","2543732","2689326","2881130","3087382","3310207","3552718","3817459","4104880","4409308","4721968","5034832","5343278","5650299","5965804","6403588","7108002","7912818","8824854","9852088","10993925","12251843","13393582","14114262","14868058","15661817","16496580","17376129","18298792","19261303","20253847","21274210","22269450","23172023","24089419","25032565","26003309","27006534","28035230","29088050","30154902","31229212","32464421","33917274","35393604","36882117","38373110","39863521","41355082","42863940","44415876","46035842","47731294","49487048","51289548","",
"Bulgaria","BGR","Urban population","SP.URB.TOTL","2918796","3080500","3244762","3411401","3582451","3753817","3900528","4030377","4165384","4304295","4440047","4555020","4667082","4782137","4905140","5019834","5126058","5232150","5317153","5402887","5503013","5566106","5627272","5685942","5743706","5787617","5822722","5862424","5900092","5861908","5786939","5759256","5726692","5704408","5704237","5697800","5687307","5671407","5652100","5638810","5629167","5547308","5470474","5467023","5464943","5463131","5461069","5378166","5366322","5357245","5347166","5337678","5331180","5325329","",
"Bahrain","BHR","Urban population","SP.URB.TOTL","133771","138264","142562","146662","150586","154562","158721","162886","167344","172455","178526","185525","193462","202691","213665","226616","241851","259067","277116","294428","309879","322933","333966","343886","354080","365550","378685","393136","408279","423160","437125","450164","462101","473542","485422","498270","512365","527994","545773","566413","590536","617478","647346","682314","725212","777508","840821","913023","987336","1054512","1108027","1145066","1167845","1181196","",
"Bahamas, The","BHS","Urban population","SP.URB.TOTL","65400","69587","74094","78851","83750","88711","93732","98783","103769","108558","113069","117237","121090","124752","128422","132250","136282","140478","144844","149345","153997","159061","164261","169530","174781","179942","184964","189867","194736","199687","204655","209057","213657","218288","222697","226731","230290","233480","236612","240106","244189","248658","253777","259355","265097","270774","276331","281807","287178","292438","297587","302611","307488","312209","",
"Bosnia and Herzegovina","BIH","Urban population","SP.URB.TOTL","629367","661096","696763","733447","770993","809059","847629","886775","926830","968272","1011730","1055767","1096990","1139602","1183169","1227169","1271419","1315950","1361329","1408235","1457229","1501407","1528429","1556781","1588583","1624584","1668154","1717255","1761030","1784149","1776610","1727399","1635435","1531782","1442978","1387660","1372968","1392087","1432590","1475551","1507135","1524004","1530345","1528860","1524489","1520970","1518325","1514969","1512085","1509896","1508604","1508508","1509719","1512040","",
"Belarus","BLR","Urban population","SP.URB.TOTL","2656234","2772677","2895029","3022385","3153963","3282735","3415027","3551335","3690749","3831426","3978504","4133823","4290972","4447749","4602886","4741013","4877627","5019081","5167027","5309728","5448102","5591406","5734993","5879814","6025280","6167842","6312729","6457896","6578021","6669994","6722804","6766166","6820815","6876000","6907418","6924376","6940093","6949064","6954054","6972519","7000799","6995070","6998132","6996528","6994605","6991567","6993249","7004899","7024613","7051532","7080964","7109108","7142197","7182517","",
"Belize","BLZ","Urban population","SP.URB.TOTL","49742","50873","52015","53189","54411","55693","57045","58446","59828","61106","62266","63401","64395","65278","66085","66858","67589","68295","69062","70000","71173","72577","74222","76042","77942","79851","81769","83704","85599","87384","89022","90529","92284","94041","95992","98274","100938","103939","107178","110509","113717","116204","118637","121038","123456","125929","128447","130995","133565","136156","138754","141434","144194","147025","",
"Bermuda","BMU","Urban population","SP.URB.TOTL","44400","45500","46600","47700","48900","50100","51000","52000","53000","54000","55000","54600","54200","53800","53400","53000","53200","53400","53600","53800","54670","55050","55449","55930","56423","56898","57382","57849","58347","58841","59326","59021","58595","58910","59320","59746","60129","60497","60943","61285","61833","62504","62912","63325","63740","64154","64523","64888","65273","65636","65124","64564","64798","65024","",
"Bolivia","BOL","Urban population","SP.URB.TOTL","1232676","1270483","1309522","1349886","1391725","1435038","1479955","1526484","1574792","1625040","1677453","1732073","1788907","1847679","1908084","1969925","2033034","2123137","2224929","2330489","2440219","2553903","2671889","2794090","2920799","3051730","3187151","3326992","3471666","3621145","3775927","3936052","4099313","4241971","4387579","4535405","4675662","4817431","4960709","5105881","5252966","5401955","5552828","5704380","5855448","6005162","6153186","6299760","6446251","6594749","6746624","6902408","7061796","7223976","",
"Brazil","BRA","Urban population","SP.URB.TOTL","33578065","35335863","37174096","39087200","41056898","43064699","45109251","47191515","49316431","51484227","53706387","55999555","58349366","60755217","63232154","65785647","68418586","71123998","73907422","76766718","79701030","82704181","85776148","88895095","92034688","95168142","98293710","101404965","104499916","107571860","110623047","113643478","116634904","119612650","122608690","125643462","128722555","131951235","135206733","138458241","141684017","144322880","146887617","149406378","151847126","154189198","156420514","158548677","160601745","162617510","164630483","166652418","168660947","170650255","",
"Barbados","BRB","Urban population","SP.URB.TOTL","84903","85342","85849","86391","86916","87391","87801","88171","88542","88971","89574","90561","91649","92781","93877","94875","95750","96521","97239","97980","98474","97009","95607","94245","92884","91504","90100","88677","87240","85793","84673","85265","85841","86407","86970","87534","88100","88667","89252","89865","90390","90284","90215","90175","90143","90111","90070","90028","89981","89938","89895","89910","89976","90096","",
"Brunei Darussalam","BRN","Urban population","SP.URB.TOTL","35509","38751","42172","45809","49722","53949","58521","63433","68676","74205","80004","86055","89683","93014","96351","99681","103001","106302","109539","112653","115617","118411","123102","128196","133425","138847","144484","150328","156387","162658","169144","175860","182409","189056","195774","202502","209211","215898","222589","229322","236123","242982","249884","256770","263602","270355","277017","283582","290027","296328","302470","308429","314220","319860","",
"Bhutan","BTN","Urban population","SP.URB.TOTL","8061","8697","9388","10139","10954","11844","12812","13870","15032","16320","17753","19352","21128","23078","25206","27509","30003","32685","35562","38609","41819","45148","48605","52266","56279","60725","65766","71370","77229","82843","87797","91795","94894","97536","100522","104555","109982","116742","124772","133765","143446","153819","164994","176828","189122","201402","211065","220583","230046","239615","249445","259567","269786","280008","",
"Botswana","BWA","Urban population","SP.URB.TOTL","16040","16622","17242","17900","19235","22877","27203","32353","38477","45723","54303","64430","71754","79486","88121","97782","108595","120625","133932","148512","164384","181545","208777","240791","276682","316588","360795","409312","462203","519213","580316","645190","680423","711798","743590","775591","807739","839895","871879","903377","934193","964114","983613","1000729","1017157","1033062","1048571","1063676","1078474","1093038","1107459","1121830","1136197","1150799","",
"Central African Republic","CAF","Urban population","SP.URB.TOTL","302204","317330","333405","350454","368614","387788","408131","429640","453120","477518","502749","528767","555716","583774","613423","644976","671573","693646","717237","742707","770325","800343","832607","866162","899638","932000","962774","992301","1021497","1047793","1072647","1099647","1128395","1158428","1189003","1219574","1250064","1280645","1310928","1340606","1369426","1397166","1424095","1450819","1478242","1507755","1539578","1573681","1610010","1648478","1688987","1731633","1776507","1823485","",
"Canada","CAN","Urban population","SP.URB.TOTL","12368141","12729040","13121753","13522659","13934678","14343688","14763748","15136519","15487885","15804855","16132459","16470088","16708781","16967420","17247044","17548557","17756796","17976212","18167130","18358996","18607802","18852288","19121765","19355470","19583639","19807755","20046584","20316591","20585971","20961910","21282904","21585143","21927863","22245552","22536691","22800720","23129543","23491972","23812357","24125782","24455142","24806464","25054475","25330347","25610398","25889021","26125779","26440579","26788779","27157761","27522849","27857146","28252823","28644173","",
"Central Europe and the Baltics","CEB","Urban population","SP.URB.TOTL","40683312","41700224","42665143","43671759","44717296","45698193","46634539","47617376","48589349","49515958","50341735","51243897","52351765","53487164","54670897","55905407","57137006","58349005","59529230","60602921","61618952","62476328","63243743","64001228","64746106","65478094","66191789","66882376","67542683","67934762","68131894","68095018","68005800","68007678","67938328","67833998","67595843","67494290","67307556","67195753","66742504","66381511","66025954","65873808","65747111","65630581","65532968","65294258","65141744","65074264","64965064","64977789","64885889","64804945","",
"Switzerland","CHE","Urban population","SP.URB.TOTL","2718204","2807954","2915607","3014876","3102042","3175203","3246083","3324422","3404837","3481909","3545846","3578731","3602554","3625652","3641615","3636410","3612091","3596286","3593029","3596663","3607371","3692988","3830823","3962180","4089876","4219325","4350934","4485819","4624403","4764772","4914685","5017092","5069206","5112044","5149461","5180397","5199719","5208645","5220447","5241761","5267636","5301074","5344095","5386680","5426645","5464346","5501590","5553847","5627771","5701396","5764063","5831516","5896805","5963083","",
"Channel Islands","CHI","Urban population","SP.URB.TOTL","42345","42433","42548","42684","42833","42990","43148","43306","43458","43605","43737","43828","43751","43641","43466","43213","42873","42465","42030","41627","41296","41159","41452","41801","42187","42592","43020","43349","43670","43947","44159","44257","44208","44119","44029","43967","44029","44319","44634","44968","45309","45681","46113","46553","46995","47436","47873","48306","48730","49142","49537","49912","50288","50665","",
"Chile","CHL","Urban population","SP.URB.TOTL","5188793","5386889","5587914","5792903","5999273","6204623","6408165","6609645","6809427","7007944","7205936","7402654","7598894","7793370","7984906","8172863","8356611","8537131","8717469","8901691","9093029","9292613","9491563","9662073","9838530","10019776","10205102","10394855","10590175","10792819","11003372","11222432","11453687","11710521","11963646","12208385","12442594","12667170","12883443","13094471","13302067","13506559","13707299","13903746","14096604","14286218","14472657","14656290","14837530","15016441","15193172","15368172","15541239","15712375","",
"China","CHN","Urban population","SP.URB.TOTL","108085352","110327936","114685540","121162226","127791981","129348359","131746910","134196718","136747486","139527262","142386810","145443877","148131235","151552570","155688522","159452730","162497601","165293316","171153535","180399661","189947471","199949784","210823843","220472140","230206255","240414890","251325056","262976051","275121076","287504237","300165618","314301034","328521540","342961393","357836540","373035157","388593258","404485562","420606126","436766058","452999147","471767321","491993700","512473984","533257098","554367818","575118254","595670841","616481190","637407288","658498663","679766865","700862129","721691798","",
"Cote d'Ivoire","CIV","Urban population","SP.URB.TOTL","614296","681188","755956","839237","931709","1033836","1109078","1190324","1278139","1373204","1476280","1587780","1708139","1837311","1975709","2129175","2323417","2531725","2755069","2896828","3044119","3196962","3355128","3517589","3683184","3850910","4019969","4190727","4369021","4564528","4766964","4976446","5191795","5411806","5634765","5859003","6085172","6312287","6536110","6776952","7023743","7256895","7479232","7696158","7916392","8146651","8389648","8663294","8953630","9263468","9593994","9948016","10324804","10719986","",
"Cameroon","CMR","Urban population","SP.URB.TOTL","747214","793147","842310","894873","950991","1010719","1074456","1142467","1215013","1292176","1374506","1499839","1635698","1782432","1941158","2112454","2282625","2412875","2550799","2696729","2851222","3014387","3186727","3368497","3560020","3761279","3972809","4185467","4378852","4579228","4786742","5001347","5223283","5451937","5687686","5930238","6179768","6436109","6700055","6972456","7253799","7543930","7843592","8153155","8473376","8804237","9146464","9499375","9863548","10238537","10624837","11022206","11430715","11850233","",
"Congo, Rep.","COG","Urban population","SP.URB.TOTL","320302","336094","352785","370387","388938","408428","428922","450452","473142","497069","522407","549236","577565","607253","638744","672281","706962","742793","780030","818927","859709","902434","947123","993609","1041684","1085630","1125533","1166360","1208111","1250859","1294695","1339572","1385570","1433088","1482672","1534791","1589916","1649256","1710657","1772810","1834925","1896326","1957655","2020607","2087703","2160724","2240540","2326470","2416633","2508392","2599755","2690117","2780050","2870101","",
"Colombia","COL","Urban population","SP.URB.TOTL","7208160","7638857","8090238","8561980","9054471","9469293","9895383","10335516","10786440","11242547","11701209","12159694","12619664","13084304","13558242","14047164","14554089","15077014","15615536","16167731","16732037","17307569","17895521","18494584","19104104","19722381","20321270","20915951","21518066","22125968","22740647","23361254","23987269","24618850","25212276","25790448","26375091","26965300","27559576","28157147","28756472","29356349","29957246","30559898","31165943","31775238","32388251","33004011","33620951","34236956","34850319","35460217","36065978","36667732","",
"Comoros","COM","Urban population","SP.URB.TOTL","23907","25862","27963","30224","32672","35328","38229","39808","41478","43209","44985","46785","48632","50608","52836","55405","58368","61694","65302","69041","72802","76622","80477","84373","88357","92470","96722","101101","105610","110253","115040","119979","123205","126000","128879","131853","134941","138138","141439","144846","148350","151948","155643","159435","163341","167442","171733","176223","180892","185721","190703","195822","201109","206541","",
"Cabo Verde","CPV","Urban population","SP.URB.TOTL","35401","36803","38362","40050","41833","43675","45549","47458","49441","51568","53871","56514","59441","62353","64922","66916","68166","68761","69049","69551","70928","76093","82283","89310","96769","104254","113690","123238","133106","143691","155285","161997","169582","177805","186315","194817","203185","211441","219662","227960","236410","244750","253197","261472","269210","276129","282075","287147","291731","296363","301498","307206","313396","319928","",
"Costa Rica","CRI","Urban population","SP.URB.TOTL","456963","474266","492352","512823","539509","566599","594067","621941","650172","678674","707469","736456","765784","795126","821007","848513","877900","909054","941954","976374","1012149","1049245","1087784","1127618","1169477","1226386","1285287","1346117","1408834","1473227","1539337","1606898","1675958","1746944","1820687","1897670","1978217","2061843","2147660","2234122","2320382","2424428","2527987","2631033","2734003","2836986","2939983","3042670","3145112","3247363","3349752","3452158","3553035","3651981","",
"Caribbean small states","CSS","Urban population","SP.URB.TOTL","1323102","1357283","1393130","1430226","1467512","1503873","1540228","1576217","1611684","1646498","1680769","1714088","1751435","1792941","1833957","1874773","1915850","1956530","1997666","2040401","2084580","2116632","2153051","2183938","2214287","2241106","2265046","2284401","2299734","2321897","2344158","2372967","2402386","2432974","2464368","2496421","2533499","2567737","2601641","2633623","2664451","2690175","2710632","2731286","2752380","2772883","2793311","2813719","2834068","2854371","2874799","2896374","2917831","2939364","",
"Cuba","CUB","Urban population","SP.URB.TOTL","4170491","4270966","4379050","4492012","4606096","4718428","4827556","4934061","5039135","5144814","5252214","5408525","5577663","5745565","5908143","6061696","6205187","6339147","6464827","6583824","6698283","6806965","6893219","6975076","7063428","7162119","7274210","7397737","7527730","7656081","7777201","7872156","7942228","8005459","8064145","8119971","8172539","8226074","8281895","8336065","8389789","8443623","8497109","8540943","8572378","8597111","8614489","8625438","8631884","8636516","8641496","8647492","8653953","8660114","",
