"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Azerbaijan","AZE","Rural population","SP.RUR.TOTL","1845144","1919793","1997761","2077676","2157742","2236571","2313561","2388796","2462467","2534914","2588666","2619209","2647133","2672680","2703057","2738887","2773187","2806255","2838624","2873146","2910821","2949563","2989131","3029458","3067722","3103593","3139330","3174988","3210729","3263817","3311109","3385305","3459796","3535841","3607435","3672969","3734314","3794654","3855372","3896779","3912746","3926875","3939942","3953356","3971421","3995444","4022610","4051232","4119674","4188204","4219228","4254200","4289447","4322218","",
"Burundi","BDI","Rural population","SP.RUR.TOTL","2728859","2780301","2832162","2886190","2944700","3008401","3078344","3154215","3230700","3300457","3358758","3403417","3437332","3467006","3501475","3547377","3606949","3678606","3760867","3850939","3947488","4048877","4155622","4269322","4392081","4524896","4668278","4819710","4972960","5119817","5254329","5378626","5492246","5594071","5683722","5762125","5827935","5884339","5942819","6019295","6123924","6260696","6426712","6617233","6824362","7041918","7269124","7506807","7751675","8000454","8250296","8499318","8747501","8996686","",
"Belgium","BEL","Rural population","SP.RUR.TOTL","690173","683837","675039","665612","657593","649491","639888","629663","618582","607025","594492","582711","572373","561805","551360","540999","530184","510589","491485","473116","455398","440204","430030","420141","410476","401233","392205","383459","375867","368490","361118","354059","347362","340654","333815","326709","319832","313175","306498","300145","294416","289670","285288","280986","276681","272758","269184","265961","262823","259764","257609","255534","252389","248980","",
"Benin","BEN","Rural population","SP.RUR.TOTL","2206087","2222953","2241144","2260567","2281145","2302815","2325429","2348881","2372973","2397564","2422433","2447483","2472531","2497732","2522957","2548240","2573393","2598463","2623004","2653236","2701553","2751606","2803371","2856666","2911197","2966957","3023148","3080189","3139904","3204976","3276583","3355840","3451369","3565157","3677681","3785450","3886695","3983129","4078531","4178093","4285466","4401808","4525292","4653298","4782596","4910890","5037663","5163280","5287244","5409462","5529567","5647245","5762369","5875502","",
"Burkina Faso","BFA","Rural population","SP.RUR.TOTL","4602314","4659834","4717616","4776779","4839103","4905879","4977618","5053909","5134081","5216825","5301408","5387932","5476826","5568727","5664232","5763919","5855684","5941349","6030037","6123382","6222089","6326597","6435916","6548383","6661837","6774751","6913024","7076005","7243580","7416143","7593789","7776742","7964839","8158481","8357841","8563177","8774461","8971916","9157046","9345284","9536622","9731277","9928358","10127775","10328737","10531248","10734503","10937805","11142357","11347189","11551870","11755755","11958951","12161585","",
"Bangladesh","BGD","Rural population","SP.RUR.TOTL","46993415","48264177","49522113","50821851","52192925","53647694","55212367","56861708","58499918","59997990","61274030","62284590","63079771","63785213","64479613","65157171","66031846","67055230","68159536","69247848","70246597","71370560","72946320","74531608","76142501","77791142","79475376","81178195","82871914","84525498","86111637","87665140","89258945","90808124","92336927","93866276","95394362","96910085","98390474","99811921","101154053","102265082","103089005","103792382","104352918","104762070","105005181","105101985","105106027","105087224","105089633","105131137","105208320","105305414","",
"Bulgaria","BGR","Rural population","SP.RUR.TOTL","4948578","4862618","4768184","4666744","4561889","4450351","4357529","4279849","4204219","4129877","4049527","3981375","3909118","3838830","3773605","3700908","3632541","3572033","3496879","3423053","3358522","3325011","3290185","3253796","3216973","3172930","3135449","3108935","3081354","3015064","2931350","2873111","2813472","2767905","2739354","2708267","2675519","2640661","2604686","2571814","2541005","2472974","2397994","2356534","2316218","2276769","2237951","2167172","2126239","2087198","2048433","2010650","1974708","1939786","",
"Bahrain","BHR","Rural population","SP.RUR.TOTL","28730","29660","30545","31386","32188","32786","33061","33317","33609","34014","34576","35283","36126","37169","38474","40070","41992","44169","46395","48401","50023","51192","51984","52561","53143","53875","54806","55870","56975","57982","58819","59481","60650","62169","63748","65460","67332","69406","71764","74500","77703","81271","85195","89744","95293","102026","110130","119330","128702","137027","143486","147698","149982","150975","",
"Bahamas, The","BHS","Rural population","SP.RUR.TOTL","44126","45521","46989","48480","49947","51338","52632","53824","54860","55692","56287","56630","56754","56737","56675","56632","56623","56640","56667","56693","56663","56343","56013","55654","55233","54742","54171","53530","52849","52176","51683","52045","52440","52817","53123","53319","53388","53365","53314","53336","53570","54347","55262","56269","57303","58314","59291","60242","61162","62054","62911","63720","64472","65165","",
"Bosnia and Herzegovina","BIH","Rural population","SP.RUR.TOTL","2676134","2697106","2712556","2724742","2732885","2736803","2736121","2731386","2723977","2715752","2707729","2702215","2702108","2701838","2699766","2695002","2687168","2676980","2665320","2653592","2642674","2636753","2646809","2658367","2674810","2697382","2731103","2772300","2803235","2800585","2749901","2646316","2507633","2350766","2216431","2133336","2112607","2143911","2208231","2276453","2327229","2355349","2367234","2366919","2362234","2358858","2356832","2353696","2349116","2343550","2337325","2330814","2324197","2317267","",
"Belarus","BLR","Rural population","SP.RUR.TOTL","5541766","5498539","5456899","5414847","5370261","5327265","5281469","5234313","5183803","5128878","5061496","4981753","4897996","4809523","4714698","4625987","4533373","4443919","4357973","4274272","4194898","4118594","4041007","3963186","3884720","3807158","3730271","3653104","3561979","3500006","3466196","3427834","3395185","3363000","3319582","3269624","3219907","3167936","3114946","3062481","3004201","2932930","2866868","2800472","2735395","2671433","2610751","2555101","2503387","2455468","2409036","2363892","2321803","2283483","",
"Belize","BLZ","Rural population","SP.RUR.TOTL","42326","43828","45374","46977","48659","50428","52299","54253","56233","58154","59913","61391","62753","64016","65221","66403","67556","68696","69910","71308","72978","74989","77276","79778","82400","85065","87778","90546","93307","95984","98530","100839","102610","104379","106356","108688","111437","114545","117905","121351","124869","128994","133129","137308","141584","145991","150538","155201","159979","164860","169841","174846","179866","184875","",
